,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.7332535982131958,0.7005123496055603,0.7332535982131958,0.7076792120933533
test_split_2,0.7428230047225952,0.7004940509796143,0.7428230047225952,0.7135289311408997
test_split_3,0.7332535982131958,0.6972323060035706,0.7332535982131958,0.7047832608222961
test_split_4,0.7356460094451904,0.6950587034225464,0.7356460094451904,0.7060844898223877
test_split_5,0.7655501365661621,0.726427435874939,0.7655501365661621,0.7352563142776489
test_split_6,0.7452152967453003,0.6992270946502686,0.7452152967453003,0.71586674451828
test_split_7,0.7356459498405457,0.6888226866722107,0.7356459498405457,0.7043221592903137
test_split_8,0.7428229451179504,0.687950849533081,0.7428229451179504,0.7116786241531372
test_split_9,0.763157844543457,0.7314474582672119,0.763157844543457,0.7409022450447083
test_split_10,0.7165071964263916,0.6609522104263306,0.7165071964263916,0.6808949112892151
