,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6734449863433838,0.5556035041809082,0.6734449863433838,0.5975704789161682
test_split_2,0.6794258952140808,0.5658108592033386,0.6794258952140808,0.6094149947166443
test_split_3,0.6650718450546265,0.5581966042518616,0.6650718450546265,0.5923207402229309
test_split_4,0.660287082195282,0.5465997457504272,0.660287082195282,0.5848560333251953
test_split_5,0.709330141544342,0.5924113988876343,0.709330141544342,0.6363858580589294
test_split_6,0.6854066848754883,0.5630773305892944,0.6854066848754883,0.6093419194221497
test_split_7,0.6818181872367859,0.5514347553253174,0.6818181872367859,0.6013101935386658
test_split_8,0.6901914477348328,0.5670397877693176,0.6901914477348328,0.6151558756828308
test_split_9,0.7141148447990417,0.5950491428375244,0.7141148447990417,0.6421566605567932
test_split_10,0.6722488403320312,0.5554994344711304,0.6722488403320312,0.5960009694099426
