,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6818181276321411,0.5852921605110168,0.6818181276321411,0.617671012878418
test_split_2,0.6842105388641357,0.585657000541687,0.6842105388641357,0.6224187612533569
test_split_3,0.6901914477348328,0.5944362878799438,0.6901914477348328,0.6236627101898193
test_split_4,0.6758373379707336,0.5774357914924622,0.6758373379707336,0.608069896697998
test_split_5,0.7165071964263916,0.6212719082832336,0.7165071964263916,0.6536625027656555
test_split_6,0.7057416439056396,0.6033605933189392,0.7057416439056396,0.6383135318756104
test_split_7,0.6889952421188354,0.577427327632904,0.6889952421188354,0.6196601986885071
test_split_8,0.7069377899169922,0.5930933356285095,0.7069377899169922,0.6393865346908569
test_split_9,0.7368420362472534,0.6428747177124023,0.7368420362472534,0.675207793712616
test_split_10,0.7021531462669373,0.6045488715171814,0.7021531462669373,0.6336644887924194
