,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6423445343971252,0.5330637693405151,0.6423445343971252,0.570740818977356
test_split_2,0.6184210777282715,0.5216253399848938,0.6184210777282715,0.5561046004295349
test_split_3,0.6160287261009216,0.5099143385887146,0.6160287261009216,0.5458885431289673
test_split_4,0.6016746163368225,0.5013265013694763,0.6016746163368225,0.5314904451370239
test_split_5,0.677033543586731,0.5648044943809509,0.677033543586731,0.6068859696388245
test_split_6,0.6363636255264282,0.5270216464996338,0.6363636255264282,0.5670499801635742
test_split_7,0.6279904246330261,0.5137259364128113,0.6279904246330261,0.5539771318435669
test_split_8,0.6459330320358276,0.5249074101448059,0.6459330320358276,0.5727447867393494
test_split_9,0.6483253240585327,0.5468683838844299,0.6483253240585327,0.5819356441497803
test_split_10,0.6315789818763733,0.5246586203575134,0.6315789818763733,0.5606487393379211
