,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6961722373962402,0.5721898078918457,0.6961722373962402,0.6226163506507874
test_split_2,0.6710526347160339,0.5612488389015198,0.6710526347160339,0.6016753911972046
test_split_3,0.6650717854499817,0.5452123880386353,0.6650717854499817,0.5909186601638794
test_split_4,0.6818181872367859,0.5667175054550171,0.6818181872367859,0.6107171177864075
test_split_5,0.6782296895980835,0.5659608244895935,0.6782296895980835,0.6097713708877563
test_split_6,0.666267991065979,0.5462002754211426,0.666267991065979,0.59232497215271
test_split_7,0.679425835609436,0.5607943534851074,0.679425835609436,0.6045083999633789
test_split_8,0.690191388130188,0.5689258575439453,0.690191388130188,0.615101158618927
test_split_9,0.6973684430122375,0.5755897760391235,0.6973684430122375,0.6240609884262085
test_split_10,0.6997607350349426,0.5906570553779602,0.6997607350349426,0.6342289447784424
