,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6208133697509766,0.4985300600528717,0.6208133697509766,0.5430173873901367
test_split_2,0.630382776260376,0.5102194547653198,0.630382776260376,0.5540751218795776
test_split_3,0.6208134293556213,0.5020661354064941,0.6208134293556213,0.5403561592102051
test_split_4,0.6028708219528198,0.48114651441574097,0.6028708219528198,0.524204432964325
test_split_5,0.6566985845565796,0.5337726473808289,0.6566985845565796,0.5802041888237
test_split_6,0.6315789818763733,0.5105878114700317,0.6315789818763733,0.555353045463562
test_split_7,0.6148325204849243,0.47926121950149536,0.6148325204849243,0.5320422649383545
test_split_8,0.6375598311424255,0.5110872387886047,0.6375598311424255,0.5579284429550171
test_split_9,0.655502438545227,0.5385801196098328,0.655502438545227,0.5831317901611328
test_split_10,0.6184210777282715,0.5035770535469055,0.6184210777282715,0.5409568548202515
