,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6746411323547363,0.5505092144012451,0.6746411323547363,0.5952877402305603
test_split_2,0.6758373379707336,0.5569115877151489,0.6758373379707336,0.6008904576301575
test_split_3,0.6698564887046814,0.5484923720359802,0.6698564887046814,0.5918417572975159
test_split_4,0.6531100869178772,0.537560224533081,0.6531100869178772,0.5766446590423584
test_split_5,0.7045454978942871,0.5818860530853271,0.7045454978942871,0.6283445954322815
test_split_6,0.673444926738739,0.549172580242157,0.673444926738739,0.5972514152526855
test_split_7,0.6710525751113892,0.5358659625053406,0.6710525751113892,0.5889584422111511
test_split_8,0.6877990961074829,0.5566876530647278,0.6877990961074829,0.6095714569091797
test_split_9,0.6901914477348328,0.5676743984222412,0.6901914477348328,0.6162194013595581
test_split_10,0.6698564887046814,0.5537774562835693,0.6698564887046814,0.5882951021194458
