,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6818181872367859,0.5816006660461426,0.6818181872367859,0.6148325800895691
test_split_2,0.6877990961074829,0.5906257629394531,0.6877990961074829,0.6254918575286865
test_split_3,0.6830143332481384,0.5858310461044312,0.6830143332481384,0.619931697845459
test_split_4,0.6734449863433838,0.5800775289535522,0.6734449863433838,0.6088330149650574
test_split_5,0.7141148447990417,0.6084586381912231,0.7141148447990417,0.6495474576950073
test_split_6,0.6985645890235901,0.5944265723228455,0.6985645890235901,0.6343982219696045
test_split_7,0.6854066848754883,0.5734764337539673,0.6854066848754883,0.6169026494026184
test_split_8,0.703349232673645,0.5905519127845764,0.703349232673645,0.6366596221923828
test_split_9,0.7188994884490967,0.6212433576583862,0.7188994884490967,0.6592179536819458
test_split_10,0.6913875937461853,0.5941526293754578,0.6913875937461853,0.6226755380630493
