,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6578947305679321,0.5446726083755493,0.6578947305679321,0.5865737199783325
test_split_2,0.6614832878112793,0.5575964450836182,0.6614832878112793,0.5940620303153992
test_split_3,0.6519139409065247,0.5425901412963867,0.6519139409065247,0.5813930034637451
test_split_4,0.6423444747924805,0.5428754687309265,0.6423444747924805,0.5742672681808472
test_split_5,0.6830143928527832,0.5750313401222229,0.6830143928527832,0.6157646179199219
test_split_6,0.6722487807273865,0.5621073842048645,0.6722487807273865,0.6014653444290161
test_split_7,0.6578947305679321,0.5363243222236633,0.6578947305679321,0.5804495215415955
test_split_8,0.6722487807273865,0.552908182144165,0.6722487807273865,0.6019944548606873
test_split_9,0.684210479259491,0.5877364873886108,0.684210479259491,0.6201792359352112
test_split_10,0.6435406804084778,0.5308032631874084,0.6435406804084778,0.5713638067245483
