,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6411483883857727,0.5590572357177734,0.6411483883857727,0.587181031703949
test_split_2,0.6590909361839294,0.5737637281417847,0.6590909361839294,0.6036363244056702
test_split_3,0.6638756394386292,0.5796595811843872,0.6638756394386292,0.6052477359771729
test_split_4,0.632775068283081,0.5358010530471802,0.632775068283081,0.5692700147628784
test_split_5,0.6985645890235901,0.6182420253753662,0.6985645890235901,0.6419912576675415
test_split_6,0.6483253836631775,0.5607728958129883,0.6483253836631775,0.5920706987380981
test_split_7,0.6590909361839294,0.5632129311561584,0.6590909361839294,0.5975921154022217
test_split_8,0.6602871417999268,0.5671517252922058,0.6602871417999268,0.602642297744751
test_split_9,0.6746411323547363,0.5951249003410339,0.6746411323547363,0.6221035718917847
test_split_10,0.6435406804084778,0.5479924082756042,0.6435406804084778,0.5803006291389465
