,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8050239234449761,0.6680524148122832,0.7016556542872331,0.7763157894736842,0.681439393939394,0.6976475279106857,0.7631578947368421,0.6850079744816586,0.6947767145135565
test_split_2,0.8169856459330144,0.6786121237437026,0.7156067251461988,0.7870813397129187,0.6927531897926634,0.7115031897926634,0.7679425837320574,0.6995614035087718,0.7071371610845295
test_split_3,0.8086124401913876,0.6796575324042429,0.7148932938406622,0.7834928229665071,0.6931319776714514,0.7114234449760766,0.7607655502392344,0.6965709728867624,0.7063397129186603
test_split_4,0.8050239234449761,0.6584400937408456,0.6901605339105338,0.7763157894736842,0.6675388755980861,0.6860645933014353,0.7452153110047847,0.6676634768740032,0.6788277511961722
test_split_5,0.8277511961722488,0.7052308802308803,0.7408307701070858,0.8014354066985646,0.7200209330143541,0.7371012759170654,0.7822966507177034,0.7234848484848484,0.7328548644338118
test_split_6,0.8014354066985646,0.6618091947039315,0.7021758942811573,0.7799043062200957,0.6804342769803297,0.6993022328548646,0.7607655502392344,0.6850079744816586,0.6951754385964912
test_split_7,0.8038277511961722,0.671571732361206,0.7088094288752184,0.7739234449760766,0.6876594896331737,0.7047647527910686,0.7619617224880383,0.691786283891547,0.7019537480063797
test_split_8,0.7894736842105263,0.674623680413154,0.7091298321561479,0.7715311004784688,0.6891513822434874,0.7066985645933014,0.7523923444976076,0.6929824561403508,0.7021531100478469
test_split_9,0.8086124401913876,0.6856880680235943,0.7228767942583733,0.7906698564593302,0.70208831738437,0.7204744816586922,0.7739234449760766,0.7077352472089313,0.7167065390749601
test_split_10,0.8014354066985646,0.6618639480646059,0.6973261752867017,0.7703349282296651,0.6741842769803296,0.6930223285486444,0.7464114832535885,0.6782296650717703,0.6874003189792665
