,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.32894739508628845,0.3572021722793579,0.32894739508628845,0.28946778178215027
test_split_2,0.3217703402042389,0.3193136155605316,0.3217703402042389,0.2910051941871643
test_split_3,0.34090912342071533,0.3500599265098572,0.34090912342071533,0.31121620535850525
test_split_4,0.35406699776649475,0.3858141601085663,0.35406699776649475,0.3177151679992676
test_split_5,0.3684210777282715,0.4072153568267822,0.3684210777282715,0.33782416582107544
test_split_6,0.3552631437778473,0.3426864743232727,0.3552631437778473,0.3234432339668274
test_split_7,0.34569382667541504,0.36019134521484375,0.34569382667541504,0.3012796938419342
test_split_8,0.330143541097641,0.3378245532512665,0.330143541097641,0.29625189304351807
test_split_9,0.36244022846221924,0.4171152114868164,0.36244022846221924,0.3310699760913849
test_split_10,0.32775118947029114,0.31157925724983215,0.32775118947029114,0.294716477394104
