,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.6064593301435407,0.409393783807161,0.43408995974785447,0.5406698564593302,0.41806718500797446,0.4253588516746411,0.4964114832535885,0.41367623604465714,0.4150717703349282
test_split_2,0.5777511961722488,0.39538025408639443,0.4142330257461836,0.5191387559808612,0.39847654173312064,0.4066387559808613,0.4820574162679426,0.39692982456140347,0.39832535885167464
test_split_3,0.59688995215311,0.4018934534207091,0.42476076555023917,0.527511961722488,0.4095295055821372,0.4153309409888358,0.49282296650717705,0.4064992025518341,0.40749601275917063
test_split_4,0.5980861244019139,0.4018317574238627,0.41756569453937875,0.5239234449760766,0.4016746411483253,0.40739633173843703,0.48086124401913877,0.39752791068580545,0.39752791068580545
test_split_5,0.638755980861244,0.45615815105946683,0.4752629680261259,0.583732057416268,0.46174242424242423,0.46776315789473677,0.5394736842105263,0.45753588516746413,0.45753588516746413
test_split_6,0.6148325358851675,0.40512224298721783,0.42823536113009797,0.5334928229665071,0.41053794524189263,0.41730462519936207,0.4904306220095694,0.4061004784688995,0.40749601275917063
test_split_7,0.5956937799043063,0.4215178624169852,0.44145353915090757,0.5550239234449761,0.42911682615629987,0.4361443381180223,0.5131578947368421,0.4253389154704944,0.42663476874003187
test_split_8,0.5885167464114832,0.402735162822882,0.42192602718918504,0.5322966507177034,0.40858419723551304,0.4144736842105263,0.4892344497607656,0.40311004784689,0.4043062200956938
test_split_9,0.6303827751196173,0.43567607465633784,0.4555389420520999,0.5717703349282297,0.4422581073896863,0.44788676236044656,0.5263157894736842,0.4356060606060606,0.4370015948963318
test_split_10,0.6196172248803827,0.41776225601883493,0.43750284802916384,0.5574162679425837,0.4215427299308878,0.42904704944178623,0.5059808612440191,0.4160685805422648,0.4172647527910686
