,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5610047578811646,0.5413221716880798,0.5610047578811646,0.5344989895820618
test_split_2,0.5610047578811646,0.5382547378540039,0.5610047578811646,0.530141294002533
test_split_3,0.5777512192726135,0.5415117740631104,0.5777512192726135,0.5431213974952698
test_split_4,0.5622009038925171,0.5454866886138916,0.5622009038925171,0.5297321677207947
test_split_5,0.589712917804718,0.5852034091949463,0.589712917804718,0.5653136372566223
test_split_6,0.5837320685386658,0.5559530258178711,0.5837320685386658,0.5515609979629517
test_split_7,0.5633971691131592,0.53509521484375,0.5633971691131592,0.5294139385223389
test_split_8,0.5526315569877625,0.533413290977478,0.5526315569877625,0.5235230326652527
test_split_9,0.589712917804718,0.556361973285675,0.589712917804718,0.5580188632011414
test_split_10,0.5562201142311096,0.5339807868003845,0.5562201142311096,0.5285941362380981
