,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7165071770334929,0.5974473167345974,0.6189398686109213,0.6913875598086124,0.6026182881446038,0.615530303030303,0.6674641148325359,0.6028708133971292,0.6098484848484849
test_split_2,0.7045454545454546,0.5880671217184374,0.6147546897546898,0.6818181818181818,0.5979881047315257,0.6117424242424243,0.6495215311004785,0.5974880382775118,0.6042663476874003
test_split_3,0.7081339712918661,0.6028382720268686,0.6241531859952912,0.687799043062201,0.6074694311536417,0.6212918660287081,0.6722488038277512,0.6108452950558213,0.617822966507177
test_split_4,0.7188995215311005,0.5964504063188273,0.6161962671831093,0.6830143540669856,0.5999368686868687,0.6110645933014354,0.6555023923444976,0.5987838915470494,0.604665071770335
test_split_5,0.7069377990430622,0.6060162815347653,0.6283492822966507,0.6830143540669856,0.6113752658160553,0.6250598086124403,0.6590909090909091,0.6126395534290272,0.6196172248803827
test_split_6,0.7177033492822966,0.6070588086377561,0.6311878180299233,0.69377990430622,0.6127492025518341,0.6279306220095694,0.6698564593301436,0.6146331738437001,0.6226076555023924
test_split_7,0.6889952153110048,0.5911287636177988,0.611782771322245,0.666267942583732,0.5942367756512493,0.6086722488038278,0.6483253588516746,0.5983851674641149,0.6046650717703349
test_split_8,0.6818181818181818,0.5739952232221969,0.5970727006911218,0.6578947368421053,0.582052432216906,0.5938397129186602,0.6339712918660287,0.5833333333333333,0.5885167464114832
test_split_9,0.69377990430622,0.603282482827439,0.6282733348522822,0.6770334928229665,0.6121428096757044,0.6261762360446571,0.6578947368421053,0.615231259968102,0.621810207336523
test_split_10,0.6985645933014354,0.5843041025332693,0.6087515189488873,0.6782296650717703,0.5904605263157895,0.6058612440191388,0.6471291866028708,0.5907097288676236,0.5986842105263158
