,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.2930622100830078,0.3356376588344574,0.2930622100830078,0.27205488085746765
test_split_2,0.2619617283344269,0.31343817710876465,0.2619617283344269,0.2472832053899765
test_split_3,0.2918660342693329,0.32962286472320557,0.2918660342693329,0.26321545243263245
test_split_4,0.29904305934906006,0.29913437366485596,0.29904305934906006,0.2694750130176544
test_split_5,0.2834928035736084,0.3292720317840576,0.2834928035736084,0.26749634742736816
test_split_6,0.2978469133377075,0.32695719599723816,0.2978469133377075,0.2692238986492157
test_split_7,0.2894737124443054,0.27815452218055725,0.2894737124443054,0.25629526376724243
test_split_8,0.3062201142311096,0.36383575201034546,0.3062201142311096,0.28848397731781006
test_split_9,0.2787081003189087,0.31393712759017944,0.2787081003189087,0.2541444003582001
test_split_10,0.31578946113586426,0.3346998989582062,0.31578946113586426,0.2857632040977478
