,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.5861244019138756,0.37153437043787924,0.39542464114832543,0.527511961722488,0.38169856459330137,0.38738038277511966,0.4892344497607656,0.37799043062200954,0.3785885167464115
test_split_2,0.5753588516746412,0.3617529619503304,0.3852989481278955,0.5191387559808612,0.37020700425305686,0.37771132376395533,0.4665071770334928,0.3650318979266347,0.36562998405103664
test_split_3,0.5514354066985646,0.3517464352168299,0.3785377268929901,0.5143540669856459,0.3646315124933546,0.37356459330143543,0.465311004784689,0.36074561403508776,0.3618421052631579
test_split_4,0.5741626794258373,0.3629107754656,0.38699542416647686,0.5203349282296651,0.370947966507177,0.37984449760765554,0.4677033492822967,0.36672647527910684,0.36782296650717705
test_split_5,0.5598086124401914,0.37329557321333645,0.39413590795169745,0.5119617224880383,0.38099415204678366,0.3876196172248804,0.4677033492822967,0.37649521531100477,0.37739234449760767
test_split_6,0.5645933014354066,0.3611678343586239,0.3882158046631731,0.5083732057416268,0.37361775651249335,0.3806818181818182,0.47129186602870815,0.3714114832535885,0.37200956937799046
test_split_7,0.583732057416268,0.3841083611807296,0.4083100744284955,0.5334928229665071,0.39358718766613504,0.40153508771929824,0.49521531100478466,0.3919457735247209,0.3927432216905901
test_split_8,0.5442583732057417,0.34556636224399384,0.36735209235209226,0.48086124401913877,0.35222454811270604,0.35893141945773516,0.45215311004784686,0.3520733652312599,0.35247208931419455
test_split_9,0.5550239234449761,0.3536761516586077,0.37521075415812255,0.5107655502392344,0.3646348351940457,0.3695175438596491,0.465311004784689,0.35855263157894735,0.35905103668261557
test_split_10,0.5610047846889952,0.3515172400698717,0.3733937115516063,0.5,0.3561735778841042,0.3655901116427432,0.45454545454545453,0.3542663476874003,0.3550637958532696
