,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6411483287811279,0.5486168265342712,0.6411483287811279,0.5833194851875305
test_split_2,0.660287082195282,0.5741931796073914,0.660287082195282,0.6043798327445984
test_split_3,0.6423445343971252,0.5577553510665894,0.6423445343971252,0.5867898464202881
test_split_4,0.6411483287811279,0.5572890639305115,0.6411483287811279,0.5808199048042297
test_split_5,0.6842105984687805,0.6010551452636719,0.6842105984687805,0.6315245628356934
test_split_6,0.6519138813018799,0.5686120390892029,0.6519138813018799,0.6000105142593384
test_split_7,0.6483253240585327,0.5533587336540222,0.6483253240585327,0.5875468850135803
test_split_8,0.6650717854499817,0.5732770562171936,0.6650717854499817,0.6072985529899597
test_split_9,0.6710525751113892,0.5886844396591187,0.6710525751113892,0.6162174940109253
test_split_10,0.64952152967453,0.5637950301170349,0.64952152967453,0.5880470871925354
