,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8074162679425837,0.6655528951346621,0.7015697387407913,0.7787081339712919,0.6820308346624135,0.6975877192982456,0.757177033492823,0.6879984051036682,0.6929824561403508
test_split_2,0.8133971291866029,0.6750323963317385,0.713016917293233,0.7930622009569378,0.6934343434343434,0.7102073365231261,0.7619617224880383,0.6981658692185008,0.7031499202551833
test_split_3,0.8098086124401914,0.6706809276076192,0.7074537669932407,0.7858851674641149,0.6837636230728336,0.704366028708134,0.7655502392344498,0.6945773524720893,0.6997607655502392
test_split_4,0.8110047846889952,0.6682257569428622,0.7008691235664919,0.7799043062200957,0.679407562466773,0.6964314194577352,0.7476076555023924,0.6826156299840511,0.6891945773524721
test_split_5,0.8265550239234449,0.7030362533769489,0.7384294068504595,0.7990430622009569,0.7187416932482722,0.734768740031898,0.7787081339712919,0.7246810207336523,0.7298644338118023
test_split_6,0.7954545454545454,0.6648879628273425,0.7065533151059465,0.7739234449760766,0.6844730196703881,0.7035087719298245,0.7643540669856459,0.6963716108452952,0.7013556618819776
test_split_7,0.8050239234449761,0.6704966838542967,0.7093363142705248,0.7882775119617225,0.6877824295587454,0.7071172248803828,0.7631578947368421,0.6953748006379585,0.7015550239234449
test_split_8,0.8002392344497608,0.6745934099317558,0.7105073289283815,0.7763157894736842,0.6885682482721956,0.707177033492823,0.7619617224880383,0.698365231259968,0.7039473684210527
test_split_9,0.8074162679425837,0.6851903628720672,0.7212576896787423,0.7906698564593302,0.7017909356725146,0.7190988835725678,0.7691387559808612,0.7093301435406698,0.7143141945773526
test_split_10,0.80622009569378,0.6707989139967524,0.7079550201260728,0.7822966507177034,0.6854017145135567,0.7047647527910685,0.7559808612440191,0.69377990430622,0.69896331738437
