,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6830143928527832,0.6054431200027466,0.6830143928527832,0.6378610134124756
test_split_2,0.7045454978942871,0.6364051699638367,0.7045454978942871,0.6606276035308838
test_split_3,0.6734449863433838,0.5997379422187805,0.6734449863433838,0.629340648651123
test_split_4,0.6698564887046814,0.5958207845687866,0.6698564887046814,0.6224417686462402
test_split_5,0.7177033424377441,0.658090353012085,0.7177033424377441,0.6812384724617004
test_split_6,0.6806219816207886,0.6137377023696899,0.6806219816207886,0.6407732963562012
test_split_7,0.6949760913848877,0.6163844466209412,0.6949760913848877,0.646139919757843
test_split_8,0.7009569406509399,0.626140296459198,0.7009569406509399,0.6571994423866272
test_split_9,0.7165071368217468,0.6395059823989868,0.7165071368217468,0.6722392439842224
test_split_10,0.6866028904914856,0.6135495901107788,0.6866028904914856,0.6395124197006226
