,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8133971291866029,0.6701715517524571,0.7238878446115289,0.784688995215311,0.7021963051568314,0.7202352472089314,0.7607655502392344,0.7031499202551833,0.7149122807017545
test_split_2,0.8169856459330144,0.6846812676758636,0.740836940836941,0.7930622009569378,0.7181602206273259,0.7375398724082933,0.7727272727272727,0.722488038277512,0.7330542264752791
test_split_3,0.812200956937799,0.6668332942671132,0.7259251348067138,0.7858851674641149,0.6989649787347156,0.7222288676236044,0.7607655502392344,0.7043460925039872,0.7163078149920254
test_split_4,0.8145933014354066,0.6719360259942182,0.7206154591023013,0.7882775119617225,0.7019902977139818,0.7168859649122807,0.7559808612440191,0.7007575757575757,0.7095295055821371
test_split_5,0.8181818181818182,0.6926191826743988,0.7479456216298321,0.7930622009569378,0.7284755449229133,0.7445773524720893,0.7763157894736842,0.7318580542264753,0.7406299840510367
test_split_6,0.7990430622009569,0.6632004072229636,0.7242106212500949,0.7763157894736842,0.6984981392876128,0.7211722488038277,0.7607655502392344,0.7062400318979266,0.7177033492822966
test_split_7,0.8014354066985646,0.6699667893805582,0.7316259398496241,0.784688995215311,0.7092570441254652,0.7292065390749601,0.7667464114832536,0.7147129186602871,0.7250797448165869
test_split_8,0.8002392344497608,0.6710862315420586,0.7320949153185995,0.777511961722488,0.7085443248272196,0.7290271132376396,0.757177033492823,0.712719298245614,0.7244816586921851
test_split_9,0.8145933014354066,0.6927684137517314,0.7513267069188122,0.8002392344497608,0.730391081871345,0.7494417862838915,0.7799043062200957,0.7348484848484848,0.7450159489633175
test_split_10,0.8145933014354066,0.671368756223471,0.7270330181514392,0.7787081339712919,0.6984250398724083,0.7221291866028708,0.7619617224880383,0.7069377990430622,0.7183014354066986
