,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5980861186981201,0.5410118103027344,0.5980861186981201,0.5531490445137024
test_split_2,0.6016746759414673,0.5521690845489502,0.6016746759414673,0.561948835849762
test_split_3,0.6124402284622192,0.5471205711364746,0.6124402284622192,0.5616821646690369
test_split_4,0.5825359225273132,0.5245922207832336,0.5825359225273132,0.5344880819320679
test_split_5,0.6399521827697754,0.5937516689300537,0.6399521827697754,0.6043810844421387
test_split_6,0.6088516712188721,0.5448997616767883,0.6088516712188721,0.5627492070198059
test_split_7,0.60047847032547,0.5473970174789429,0.60047847032547,0.5583856701850891
test_split_8,0.6088516712188721,0.5561303496360779,0.6088516712188721,0.5675049424171448
test_split_9,0.6184210181236267,0.566892147064209,0.6184210181236267,0.5789387226104736
test_split_10,0.6004784107208252,0.5364347696304321,0.6004784107208252,0.5540439486503601
