,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7607655502392344,0.6343060031029956,0.6568855851750589,0.7440191387559809,0.6461456671982987,0.6546052631578947,0.7117224880382775,0.6453349282296651,0.6471291866028708
test_split_2,0.757177033492823,0.634387874900093,0.6630107465633781,0.7356459330143541,0.6513623072833598,0.6601275917065389,0.7117224880382775,0.6519138755980861,0.654505582137161
test_split_3,0.7643540669856459,0.6457346106970167,0.6702955304928989,0.7380382775119617,0.6563596491228071,0.6668859649122807,0.715311004784689,0.6598883572567784,0.661682615629984
test_split_4,0.7583732057416268,0.6191874945751825,0.6428367319814688,0.7296650717703349,0.6290802764486975,0.6388556618819776,0.6949760765550239,0.6271929824561403,0.6307814992025518
test_split_5,0.7631578947368421,0.6599647115624558,0.6850037024379129,0.7476076555023924,0.6746677299308877,0.6830143540669856,0.7296650717703349,0.6762360446570972,0.6788277511961722
test_split_6,0.7488038277511961,0.6223308372392019,0.6524075339864812,0.7165071770334929,0.6379917597022859,0.6481459330143541,0.7021531100478469,0.6419457735247208,0.6447368421052632
test_split_7,0.7440191387559809,0.6314621612201499,0.6567014126224652,0.7260765550239234,0.6456539074960127,0.6542264752791069,0.7129186602870813,0.6483253588516746,0.6511164274322168
test_split_8,0.7416267942583732,0.6321178351723464,0.6578073972810814,0.715311004784689,0.6455342902711323,0.6542065390749602,0.6973684210526315,0.6481259968102073,0.6503189792663477
test_split_9,0.7488038277511961,0.6403287597601506,0.6667179311916154,0.7356459330143541,0.6577734582668793,0.6650717703349283,0.715311004784689,0.6580940988835726,0.6602870813397129
test_split_10,0.7631578947368421,0.640053424280398,0.6655227082858662,0.7416267942583732,0.651721158958001,0.6624800637958532,0.715311004784689,0.6549043062200957,0.6564992025518341
