,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6208134293556213,0.59804767370224,0.6208134293556213,0.5890542268753052
test_split_2,0.6267942786216736,0.5985884666442871,0.6267942786216736,0.5906180739402771
test_split_3,0.6327751278877258,0.5863980650901794,0.6327751278877258,0.5916749835014343
test_split_4,0.60047847032547,0.5653243660926819,0.60047847032547,0.5603010058403015
test_split_5,0.64952152967453,0.6360188722610474,0.64952152967453,0.6264458298683167
test_split_6,0.6315789222717285,0.5834715962409973,0.6315789222717285,0.5926092863082886
test_split_7,0.6208134293556213,0.5969496369361877,0.6208134293556213,0.5859233140945435
test_split_8,0.6172248721122742,0.5906877517700195,0.6172248721122742,0.5857459902763367
test_split_9,0.6531100273132324,0.6077070236206055,0.6531100273132324,0.6174439787864685
test_split_10,0.636363685131073,0.5871723890304565,0.636363685131073,0.593370795249939
