,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7488038277511961,0.6373740830174883,0.6648159223817117,0.7260765550239234,0.6506063928761298,0.6615430622009569,0.7009569377990431,0.65311004784689,0.6555023923444976
test_split_2,0.7440191387559809,0.6333772413914175,0.6683702627781575,0.7236842105263158,0.653942384370016,0.6655901116427433,0.69377990430622,0.6559011164274321,0.6588915470494418
test_split_3,0.7559808612440191,0.6451584493114099,0.6729788486367434,0.7248803827751196,0.6576073232323232,0.6687001594896331,0.7033492822966507,0.6608851674641149,0.6636762360446572
test_split_4,0.7452153110047847,0.6250956199421113,0.6525504101161995,0.7200956937799043,0.6389270999468367,0.6489433811802233,0.6901913875598086,0.6407496012759171,0.6419457735247208
test_split_5,0.7404306220095693,0.6477979884249464,0.6789483177641072,0.7248803827751196,0.6644720228601808,0.6769537480063796,0.7105263157894737,0.6708532695374799,0.6738437001594897
test_split_6,0.7535885167464115,0.6396668783475644,0.6708489974937343,0.7260765550239234,0.6549724215842638,0.6671052631578948,0.7093301435406698,0.6600877192982456,0.6632775119617225
test_split_7,0.7416267942583732,0.6356937994939249,0.6672509873167768,0.7284688995215312,0.6548793859649124,0.6655103668261563,0.7045454545454546,0.6566985645933014,0.6598883572567783
test_split_8,0.7236842105263158,0.6234917396982717,0.6535894660894662,0.6997607655502392,0.6403076820839979,0.6502591706539075,0.6782296650717703,0.6423444976076556,0.6455342902711323
test_split_9,0.7392344497607656,0.6514812222957586,0.6828007518796992,0.7236842105263158,0.6702435539606592,0.6807814992025518,0.7093301435406698,0.6742424242424242,0.677432216905901
test_split_10,0.7464114832535885,0.6432944264672021,0.6721994379889116,0.7236842105263158,0.6573813795853269,0.6688995215311005,0.7045454545454546,0.6620813397129187,0.6644736842105263
