,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.4700956642627716,0.49358075857162476,0.4700956642627716,0.43781670928001404
test_split_2,0.49043065309524536,0.47789663076400757,0.49043065309524536,0.4450681209564209
test_split_3,0.46889954805374146,0.46258607506752014,0.46889954805374146,0.430929571390152
test_split_4,0.4784688949584961,0.4653562307357788,0.4784688949584961,0.4400171637535095
test_split_5,0.4736841917037964,0.4932516813278198,0.4736841917037964,0.4455956816673279
test_split_6,0.4796651005744934,0.475739061832428,0.4796651005744934,0.44356057047843933
test_split_7,0.46052634716033936,0.44000059366226196,0.46052634716033936,0.4212239980697632
test_split_8,0.4665071666240692,0.4642506539821625,0.4665071666240692,0.4302912950515747
test_split_9,0.4916267991065979,0.4707038998603821,0.4916267991065979,0.4483030438423157
test_split_10,0.470095694065094,0.45170700550079346,0.470095694065094,0.42666304111480713
