,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7679425837320574,0.5491968557758031,0.5665475241133137,0.7021531100478469,0.5494417862838916,0.5571371610845295,0.6220095693779905,0.5374800637958532,0.5378787878787878
test_split_2,0.7727272727272727,0.5550474196855776,0.5742110959216222,0.7165071770334929,0.5582535885167463,0.5664673046251993,0.6232057416267942,0.5430622009569378,0.5438596491228069
test_split_3,0.7655502392344498,0.5384330459988353,0.5608623832308043,0.6794258373205742,0.5384436469962786,0.5489832535885167,0.6148325358851675,0.5330940988835725,0.5334928229665071
test_split_4,0.7727272727272727,0.5487417248930406,0.5680997000075947,0.7045454545454546,0.549727538543328,0.5584928229665073,0.6208133971291866,0.5376794258373205,0.5382775119617225
test_split_5,0.7834928229665071,0.5442082953596111,0.5635912698412698,0.7057416267942583,0.5449162679425836,0.5524720893141946,0.6136363636363636,0.5299043062200957,0.530103668261563
test_split_6,0.7703349282296651,0.5475625089660177,0.568037518037518,0.6961722488038278,0.548172514619883,0.5575358851674641,0.631578947368421,0.541267942583732,0.5418660287081339
test_split_7,0.7679425837320574,0.5354181697931698,0.5525285752259437,0.6925837320574163,0.5340709728867624,0.5419657097288677,0.6100478468899522,0.5219298245614036,0.5219298245614036
test_split_8,0.784688995215311,0.5480153192324244,0.5647380762512341,0.7141148325358851,0.5478468899521531,0.5546850079744817,0.6196172248803827,0.5316985645933014,0.5318979266347688
test_split_9,0.7703349282296651,0.5598561850754833,0.5759892154628997,0.7045454545454546,0.558160552897395,0.5666467304625199,0.6232057416267942,0.5460526315789473,0.5468500797448166
test_split_10,0.7703349282296651,0.5389765448975974,0.558302954355586,0.6985645933014354,0.5394338118022327,0.5481060606060605,0.6172248803827751,0.5283094098883572,0.5283094098883572
