,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6734449863433838,0.6042482852935791,0.6734449863433838,0.6307334899902344
test_split_2,0.6985645890235901,0.6094653010368347,0.6985645890235901,0.6451086401939392
test_split_3,0.6626794934272766,0.6040691137313843,0.6626794934272766,0.6157795786857605
test_split_4,0.6638756394386292,0.6008467674255371,0.6638756394386292,0.6189801692962646
test_split_5,0.7129186987876892,0.6495199203491211,0.7129186987876892,0.6731733083724976
test_split_6,0.6674641370773315,0.5986772775650024,0.6674641370773315,0.6239165663719177
test_split_7,0.6854066848754883,0.6011663675308228,0.6854066848754883,0.6337461471557617
test_split_8,0.6877990365028381,0.6169288158416748,0.6877990365028381,0.6437101364135742
test_split_9,0.7081339955329895,0.6313043832778931,0.7081339955329895,0.6602247953414917
test_split_10,0.6866028904914856,0.6083939671516418,0.6866028904914856,0.6328644156455994
