,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8145933014354066,0.6801089133819397,0.7239120528594212,0.7822966507177034,0.7020334928229666,0.7195175438596491,0.7643540669856459,0.7103269537480065,0.7155103668261562
test_split_2,0.8313397129186603,0.6976292372345002,0.7415641376167693,0.7954545454545454,0.7175172780435938,0.7368620414673046,0.7679425837320574,0.7226874003189793,0.7304625199362043
test_split_3,0.8050239234449761,0.6661281992860941,0.7118905217589429,0.7643540669856459,0.6863171185539607,0.7066188197767145,0.7488038277511961,0.6979665071770335,0.7031499202551834
test_split_4,0.8098086124401914,0.6692908249158249,0.7145724158882052,0.777511961722488,0.6922381711855397,0.710047846889952,0.7523923444976076,0.6993620414673046,0.7045454545454546
test_split_5,0.8265550239234449,0.7077983785220627,0.7501647110199743,0.8002392344497608,0.730420986177565,0.7467703349282298,0.784688995215311,0.7374401913875598,0.743421052631579
test_split_6,0.7978468899521531,0.6665481807422596,0.713719905825169,0.7691387559808612,0.689751129718235,0.7097687400318978,0.7547846889952153,0.7001594896331738,0.7065390749601276
test_split_7,0.8050239234449761,0.678145798524088,0.725320877952457,0.7763157894736842,0.7029638490164805,0.7214114832535884,0.757177033492823,0.7119218500797447,0.7171052631578947
test_split_8,0.7930622009569378,0.6730672403863193,0.7179245462140199,0.7583732057416268,0.6967969165337585,0.7134170653907497,0.7440191387559809,0.7049441786283891,0.710127591706539
test_split_9,0.8098086124401914,0.699876189843295,0.7455433090301511,0.7894736842105263,0.7223003056884636,0.7426834130781499,0.7763157894736842,0.7330542264752792,0.7396331738437001
test_split_10,0.819377990430622,0.6793638723431956,0.7258824143692563,0.7834928229665071,0.699587985114301,0.7213118022328548,0.7631578947368421,0.7103269537480063,0.7167065390749601
