,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5645933151245117,0.5517067909240723,0.5645933151245117,0.5122900605201721
test_split_2,0.5837320685386658,0.5502822995185852,0.5837320685386658,0.5261439085006714
test_split_3,0.589712917804718,0.5519788265228271,0.589712917804718,0.5373926162719727
test_split_4,0.5574162602424622,0.5126839876174927,0.5574162602424622,0.502265214920044
test_split_5,0.5873205661773682,0.5754625797271729,0.5873205661773682,0.5413566827774048
test_split_6,0.5909091234207153,0.5257909297943115,0.5909091234207153,0.5369928479194641
test_split_7,0.5717703700065613,0.5102882981300354,0.5717703700065613,0.5124362111091614
test_split_8,0.570574164390564,0.5486006736755371,0.570574164390564,0.5153250098228455
test_split_9,0.606459379196167,0.5323861837387085,0.606459379196167,0.5414900779724121
test_split_10,0.5765550136566162,0.5176845192909241,0.5765550136566162,0.5203626155853271
