,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6830143928527832,0.6115227341651917,0.6830143928527832,0.6396957039833069
test_split_2,0.7009569406509399,0.624076247215271,0.7009569406509399,0.6550294756889343
test_split_3,0.6734449863433838,0.5964503288269043,0.6734449863433838,0.6251568794250488
test_split_4,0.6722488403320312,0.5975282192230225,0.6722488403320312,0.6247512698173523
test_split_5,0.7188994884490967,0.6560595631599426,0.7188994884490967,0.6804745197296143
test_split_6,0.6782296895980835,0.6049023866653442,0.6782296895980835,0.6344882845878601
test_split_7,0.679425835609436,0.6025685667991638,0.679425835609436,0.6319259405136108
test_split_8,0.6889952421188354,0.6184308528900146,0.6889952421188354,0.646837055683136
test_split_9,0.7141149044036865,0.6367031931877136,0.7141149044036865,0.6668449640274048
test_split_10,0.6889952421188354,0.6007026433944702,0.6889952421188354,0.6353065967559814
