,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5311004519462585,0.49936842918395996,0.5311004519462585,0.4834257662296295
test_split_2,0.5478468537330627,0.48372703790664673,0.5478468537330627,0.4925385117530823
test_split_3,0.5346890091896057,0.47921550273895264,0.5346890091896057,0.48299622535705566
test_split_4,0.5442583560943604,0.4896206259727478,0.5442583560943604,0.4905306100845337
test_split_5,0.559808611869812,0.5572127103805542,0.559808611869812,0.518330454826355
test_split_6,0.5681818127632141,0.5100932717323303,0.5681818127632141,0.5169788002967834
test_split_7,0.5514354109764099,0.5243555307388306,0.5514354109764099,0.5020291209220886
test_split_8,0.5370813608169556,0.5162928700447083,0.5370813608169556,0.48754414916038513
test_split_9,0.5801435112953186,0.5048518776893616,0.5801435112953186,0.5206911563873291
test_split_10,0.5610047578811646,0.4934455454349518,0.5610047578811646,0.5047217607498169
