,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7392344497607656,0.5863693324219641,0.6076274967722336,0.7141148325358851,0.5938995215311004,0.60420653907496,0.6901913875598086,0.598883572567783,0.598883572567783
test_split_2,0.7655502392344498,0.607966412242728,0.629229797979798,0.7356459330143541,0.6141945773524721,0.6251993620414673,0.7177033492822966,0.6210127591706539,0.6210127591706539
test_split_3,0.7440191387559809,0.5928481715652768,0.612921033644718,0.7200956937799043,0.599700956937799,0.6097089314194577,0.6961722488038278,0.6042663476874004,0.6042663476874004
test_split_4,0.7440191387559809,0.5955136420596947,0.6107304245462141,0.7057416267942583,0.5983452950558215,0.6057615629984052,0.680622009569378,0.6000797448165869,0.6000797448165869
test_split_5,0.7368421052631579,0.5999463621174147,0.620501063264221,0.715311004784689,0.6075558213716108,0.6175438596491228,0.6961722488038278,0.613237639553429,0.613237639553429
test_split_6,0.7404306220095693,0.6023747816510975,0.6251571162755373,0.7129186602870813,0.6111443381180224,0.6215510366826155,0.6925837320574163,0.6168261562998405,0.6168261562998405
test_split_7,0.7380382775119617,0.5976237943343206,0.6175281954887217,0.715311004784689,0.6053628389154705,0.6145334928229665,0.6925837320574163,0.6095494417862839,0.6094497607655502
test_split_8,0.7392344497607656,0.5931065827447406,0.6141855585934533,0.7188995215311005,0.6022727272727272,0.6115430622009569,0.7045454545454546,0.6082535885167464,0.6082535885167464
test_split_9,0.7320574162679426,0.6167682463735095,0.6389097744360903,0.7188995215311005,0.626774322169059,0.6371810207336523,0.7069377990430622,0.6343700159489634,0.6343700159489634
test_split_10,0.7547846889952153,0.606737012987013,0.6269295397584871,0.7248803827751196,0.6115031897926635,0.623006379585327,0.7117224880382775,0.6200159489633172,0.6200159489633172
