,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6758373975753784,0.6156176924705505,0.6758373975753784,0.6348055601119995
test_split_2,0.6949760913848877,0.6223973631858826,0.6949760913848877,0.6465184688568115
test_split_3,0.6650717258453369,0.5925860404968262,0.6650717258453369,0.6172880530357361
test_split_4,0.666267991065979,0.6020621061325073,0.666267991065979,0.6177878975868225
test_split_5,0.7200957536697388,0.6609057188034058,0.7200957536697388,0.6787309646606445
test_split_6,0.6854066848754883,0.6096582412719727,0.6854066848754883,0.6392071843147278
test_split_7,0.6925837397575378,0.6165832877159119,0.6925837397575378,0.6407955288887024
test_split_8,0.6889952421188354,0.6109753847122192,0.6889952421188354,0.6398701071739197
test_split_9,0.7165071964263916,0.6404323577880859,0.7165071964263916,0.6694275736808777
test_split_10,0.696172297000885,0.606759250164032,0.696172297000885,0.6372215151786804
