,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8409090909090909,0.6968196781636632,0.7337377534745956,0.80622009569378,0.7115081738437001,0.7285685805422648,0.7715311004784688,0.7163078149920254,0.7210925039872408
test_split_2,0.8636363636363636,0.7038610516641531,0.7472810814916078,0.8145933014354066,0.7206588915470494,0.7402113237639554,0.777511961722488,0.7269736842105263,0.7322567783094098
test_split_3,0.8409090909090909,0.6855364850618609,0.7228995784916837,0.7906698564593302,0.6973534688995214,0.7156499202551834,0.7583732057416268,0.7038476874003191,0.7085326953748006
test_split_4,0.8492822966507177,0.6871391027171102,0.7200975924660135,0.7906698564593302,0.6969879718234983,0.7113636363636363,0.757177033492823,0.7003588516746412,0.7039473684210527
test_split_5,0.8588516746411483,0.722066970727685,0.7640441064783169,0.8181818181818182,0.7403724747474748,0.7579545454545455,0.7834928229665071,0.7462121212121211,0.7505980861244019
test_split_6,0.8313397129186603,0.6854789492219003,0.7313705665679349,0.7834928229665071,0.7066138357256779,0.7244617224880384,0.7631578947368421,0.7155103668261562,0.7200956937799043
test_split_7,0.8492822966507177,0.7025141813769634,0.7463051568314726,0.8050239234449761,0.7217537214247741,0.739932216905901,0.7787081339712919,0.7296650717703349,0.7342503987240829
test_split_8,0.84688995215311,0.6976893103067916,0.7327138869902028,0.7990430622009569,0.7129302897395003,0.7259170653907496,0.7619617224880383,0.7137161084529505,0.7179027113237639
test_split_9,0.84688995215311,0.7191670215401418,0.7625569605832764,0.8181818181818182,0.738779239766082,0.7583931419457735,0.7906698564593302,0.748006379585327,0.7525917065390749
test_split_10,0.8492822966507177,0.7002301083245631,0.738076251234146,0.7942583732057417,0.7134735513024988,0.7300837320574162,0.7667464114832536,0.7188995215311005,0.7242822966507177
