,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7990430622009569,0.6344236775651249,0.6768730538467381,0.7715311004784688,0.6567783094098882,0.6731858054226475,0.7177033492822966,0.6608851674641149,0.6612838915470495
test_split_2,0.8002392344497608,0.6356782581453634,0.6751670843776106,0.7811004784688995,0.6562267410951622,0.672328548644338,0.7129186602870813,0.656499202551834,0.6568979266347689
test_split_3,0.8026315789473685,0.6434585042150832,0.6835027910685805,0.7763157894736842,0.6643009037745881,0.6799840510366825,0.7200956937799043,0.6660685805422647,0.6670653907496013
test_split_4,0.8110047846889952,0.6427982835877571,0.6822017164122427,0.7918660287081339,0.6629385964912281,0.6796650717703349,0.7344497607655502,0.6666666666666667,0.6668660287081339
test_split_5,0.8133971291866029,0.6502846367813474,0.6921408635224424,0.7906698564593302,0.672408293460925,0.6893939393939393,0.7392344497607656,0.6768341307814991,0.677432216905901
test_split_6,0.7858851674641149,0.6147738190172399,0.6567185007974482,0.7715311004784688,0.6349880382775119,0.6547647527910686,0.7033492822966507,0.638755980861244,0.6391547049441786
test_split_7,0.8038277511961722,0.6260905578339789,0.671988683830789,0.7811004784688995,0.6506230063795854,0.6688596491228069,0.7165071770334929,0.6541068580542265,0.654505582137161
test_split_8,0.7966507177033493,0.6355645690404462,0.6747678856231488,0.7799043062200957,0.6551767676767677,0.672488038277512,0.715311004784689,0.6570972886762361,0.6578947368421053
test_split_9,0.80622009569378,0.6404567289435711,0.678857180830865,0.7882775119617225,0.6597687400318979,0.6762958532695375,0.7248803827751196,0.6612838915470495,0.6618819776714514
test_split_10,0.80622009569378,0.6530243221690589,0.6914758487126909,0.784688995215311,0.6720494417862839,0.6886961722488039,0.7380382775119617,0.6780303030303031,0.6782296650717703
