,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.7320573925971985,0.64003986120224,0.7320573925971985,0.6773287653923035
test_split_2,0.7332535982131958,0.6438474655151367,0.7332535982131958,0.6807158589363098
test_split_3,0.7236843109130859,0.6319684386253357,0.7236843109130859,0.6686539649963379
test_split_4,0.7404306530952454,0.6522311568260193,0.7404306530952454,0.6892173290252686
test_split_5,0.739234447479248,0.662657618522644,0.739234447479248,0.6932288408279419
test_split_6,0.7105264067649841,0.6137793064117432,0.7105264067649841,0.6526308655738831
test_split_7,0.7236842513084412,0.6378563642501831,0.7236842513084412,0.6711339950561523
test_split_8,0.7344498038291931,0.6319423913955688,0.7344498038291931,0.6751980781555176
test_split_9,0.7272726893424988,0.646823525428772,0.7272726893424988,0.6790425777435303
test_split_10,0.7320573925971985,0.6611879467964172,0.7320573925971985,0.6889582872390747
