,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5944976210594177,0.5472429394721985,0.5944976210594177,0.5620189905166626
test_split_2,0.625598132610321,0.567449152469635,0.625598132610321,0.5814282894134521
test_split_3,0.5909090638160706,0.5521407723426819,0.5909090638160706,0.5531396865844727
test_split_4,0.5933014750480652,0.5315915942192078,0.5933014750480652,0.5471422672271729
test_split_5,0.6315789818763733,0.5964013338088989,0.6315789818763733,0.6015299558639526
test_split_6,0.5980861783027649,0.5544365644454956,0.5980861783027649,0.564228892326355
test_split_7,0.6112439632415771,0.5581597089767456,0.6112439632415771,0.5725005269050598
test_split_8,0.6172248125076294,0.555086612701416,0.6172248125076294,0.5757021307945251
test_split_9,0.6339712738990784,0.5784822106361389,0.6339712738990784,0.594795286655426
test_split_10,0.6088516712188721,0.5519638657569885,0.6088516712188721,0.5670504570007324
