,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7894736842105263,0.5996155838731027,0.658764809751652,0.7368421052631579,0.6343500797448165,0.6525518341307814,0.7117224880382775,0.6443381180223285,0.6469298245614035
test_split_2,0.8133971291866029,0.6254121166010264,0.6900826877800563,0.7727272727272727,0.6668859649122807,0.6848883572567782,0.7416267942583732,0.6748405103668261,0.6778309409888358
test_split_3,0.7583732057416268,0.5864279645271187,0.6471709576972734,0.7141148325358851,0.6207602339181286,0.6416068580542265,0.6949760765550239,0.6343700159489634,0.6373604465709728
test_split_4,0.7799043062200957,0.5966349314845555,0.6586480405559352,0.7368421052631579,0.634197235513025,0.6533692185007973,0.7105263157894737,0.6453349282296651,0.6473285486443381
test_split_5,0.7834928229665071,0.6182334737456918,0.6834833295359611,0.7464114832535885,0.6621411483253588,0.678847687400319,0.7260765550239234,0.6714513556618819,0.6742424242424243
test_split_6,0.7559808612440191,0.5844464124476656,0.6532970684286473,0.7212918660287081,0.6283094098883573,0.649043062200957,0.7021531100478469,0.6419457735247208,0.6447368421052632
test_split_7,0.7715311004784688,0.6057756211868053,0.6658654211285789,0.7404306220095693,0.6419358054226475,0.6619617224880382,0.7129186602870813,0.6521132376395535,0.6555023923444976
test_split_8,0.7715311004784688,0.6080979776280527,0.665666533758639,0.7248803827751196,0.641075225943647,0.6598285486443382,0.7045454545454546,0.6521132376395534,0.655103668261563
test_split_9,0.7858851674641149,0.6257047386006502,0.6869745386192755,0.7511961722488039,0.6640616693248272,0.6826754385964913,0.7356459330143541,0.6762360446570972,0.6790271132376396
test_split_10,0.7799043062200957,0.6030148897677092,0.6682743791296424,0.7452153110047847,0.644763423710792,0.6641547049441786,0.7200956937799043,0.6541068580542265,0.6582934609250398
