,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5980861186981201,0.6008135676383972,0.5980861186981201,0.5809386968612671
test_split_2,0.6267942786216736,0.6133131980895996,0.6267942786216736,0.6020558476448059
test_split_3,0.6052631735801697,0.5784397125244141,0.6052631735801697,0.5768811106681824
test_split_4,0.5968899130821228,0.5747982263565063,0.5968899130821228,0.5679740905761719
test_split_5,0.625598132610321,0.6362116932868958,0.625598132610321,0.6145156025886536
test_split_6,0.6136363744735718,0.5922254920005798,0.6136363744735718,0.5917556881904602
test_split_7,0.6160287857055664,0.6005206108093262,0.6160287857055664,0.5885259509086609
test_split_8,0.6100478768348694,0.5987963080406189,0.6100478768348694,0.587699294090271
test_split_9,0.6351674795150757,0.612399697303772,0.6351674795150757,0.61337810754776
test_split_10,0.6076554656028748,0.5930547118186951,0.6076554656028748,0.5796082615852356
