,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7356459330143541,0.5787300400622769,0.6513324029771399,0.7105263157894737,0.612310606060606,0.6478867623604464,0.687799043062201,0.6279904306220095,0.6427432216905901
test_split_2,0.7559808612440191,0.594775504101162,0.6716260347839295,0.7284688995215312,0.6318015683147262,0.6677830940988836,0.6985645933014354,0.6449362041467304,0.6610845295055823
test_split_3,0.7380382775119617,0.567352952411693,0.6485679160021265,0.7021531100478469,0.6032861509835195,0.6436802232854864,0.6782296650717703,0.6206140350877192,0.6383572567783093
test_split_4,0.7320574162679426,0.5690641681313674,0.6417938786359838,0.7069377990430622,0.6018989234449761,0.6381977671451355,0.6818181818181818,0.617822966507177,0.6325757575757576
test_split_5,0.722488038277512,0.5638765462990087,0.6511581985266196,0.6997607655502392,0.6094148724082934,0.6478867623604465,0.6794258373205742,0.6255980861244019,0.6433413078149919
test_split_6,0.7272727272727273,0.5610571923812054,0.6486837358547884,0.6997607655502392,0.6037446836788941,0.6448763955342903,0.6842105263157895,0.625,0.6413476874003191
test_split_7,0.7284688995215312,0.574785463726958,0.6564370205817575,0.7069377990430622,0.6125913742690058,0.6534090909090909,0.6866028708133971,0.6309808612440191,0.6489234449760766
test_split_8,0.7117224880382775,0.5620699764156062,0.6366565086959824,0.680622009569378,0.5928362573099415,0.6321570972886763,0.6578947368421053,0.6116427432216907,0.6271929824561404
test_split_9,0.7308612440191388,0.5764642309386983,0.6667487848408901,0.7117224880382775,0.6239516879319511,0.6641148325358852,0.69377990430622,0.6429425837320574,0.6602870813397129
test_split_10,0.7511961722488039,0.5847829598346516,0.6629262550315181,0.7260765550239234,0.6221856725146201,0.6595095693779904,0.6949760765550239,0.6349681020733652,0.652511961722488
