,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6531100273132324,0.545180082321167,0.6531100273132324,0.5865273475646973
test_split_2,0.6555023193359375,0.556413471698761,0.6555023193359375,0.5939640402793884
test_split_3,0.6411483883857727,0.5524626970291138,0.6411483883857727,0.5826852321624756
test_split_4,0.6339713335037231,0.5369742512702942,0.6339713335037231,0.5687845349311829
test_split_5,0.6913875341415405,0.5984143018722534,0.6913875341415405,0.6311629414558411
test_split_6,0.6507177352905273,0.5557096600532532,0.6507177352905273,0.5911532044410706
test_split_7,0.660287082195282,0.5493940711021423,0.660287082195282,0.590933084487915
test_split_8,0.6674641370773315,0.5595215559005737,0.6674641370773315,0.6038531064987183
test_split_9,0.6758373379707336,0.5867337584495544,0.6758373379707336,0.6161099076271057
test_split_10,0.6638756394386292,0.5539277195930481,0.6638756394386292,0.5923976302146912
