,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8289473684210527,0.6823373737675117,0.7146820650110124,0.7990430622009569,0.6956057283359915,0.7106658692185007,0.7643540669856459,0.698365231259968,0.7029505582137161
test_split_2,0.8145933014354066,0.682285603679714,0.7157201716412243,0.7918660287081339,0.696599215842637,0.7125996810207337,0.7655502392344498,0.7015550239234449,0.7067384370015949
test_split_3,0.8086124401913876,0.6720470665450302,0.7043446684894054,0.7858851674641149,0.6831472620946305,0.7011562998405103,0.7559808612440191,0.6885964912280701,0.6945773524720894
test_split_4,0.819377990430622,0.6699724882643115,0.6988375294296346,0.784688995215311,0.6790337586390218,0.6941786283891546,0.7523923444976076,0.6828149920255182,0.6870015948963316
test_split_5,0.8217703349282297,0.7064906332238726,0.7382139059770639,0.8026315789473685,0.720293394471026,0.7356858054226475,0.777511961722488,0.7256778309409888,0.7300637958532694
test_split_6,0.8074162679425837,0.6712205353300278,0.7062172476646161,0.7739234449760766,0.6835825358851674,0.7017942583732057,0.7488038277511961,0.6905901116427433,0.6961722488038278
test_split_7,0.8074162679425837,0.6779163517258756,0.7114092048302574,0.7787081339712919,0.690432283359915,0.7075558213716109,0.7607655502392344,0.698365231259968,0.7035486443381179
test_split_8,0.8133971291866029,0.6862977470582421,0.7183441558441558,0.7787081339712919,0.6989550106326422,0.7136762360446571,0.7535885167464115,0.7033492822966507,0.7079346092503986
test_split_9,0.8217703349282297,0.6969570224864711,0.7306215348978506,0.7966507177033493,0.7106392876129718,0.7272527910685805,0.7703349282296651,0.7161084529505582,0.7210925039872408
test_split_10,0.8110047846889952,0.6794608703396298,0.7148966165413534,0.784688995215311,0.6941404173312067,0.7113038277511962,0.7595693779904307,0.6995614035087718,0.7057416267942583
