,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6866029500961304,0.5855880379676819,0.6866029500961304,0.6241397857666016
test_split_2,0.7033492922782898,0.606048047542572,0.7033492922782898,0.6454471349716187
test_split_3,0.6626794338226318,0.583611011505127,0.6626794338226318,0.6104723215103149
test_split_4,0.6650717854499817,0.5754875540733337,0.6650717854499817,0.60650235414505
test_split_5,0.714114785194397,0.637364387512207,0.714114785194397,0.6641073226928711
test_split_6,0.6806221008300781,0.5822368860244751,0.6806221008300781,0.6188493967056274
test_split_7,0.6889951825141907,0.5939027070999146,0.6889951825141907,0.6285991668701172
test_split_8,0.7033493518829346,0.6097943186759949,0.7033493518829346,0.6487460732460022
test_split_9,0.709330141544342,0.6183100938796997,0.709330141544342,0.6520761251449585
test_split_10,0.7009568810462952,0.6006660461425781,0.7009568810462952,0.637540340423584
