,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8253588516746412,0.703207009866236,0.7383216564137617,0.7966507177033493,0.7138689526847422,0.7345095693779904,0.7715311004784688,0.7252791068580542,0.7284688995215312
test_split_2,0.8253588516746412,0.7109861717259116,0.746172723475355,0.8026315789473685,0.7225794125465177,0.7431020733652313,0.784688995215311,0.7350478468899522,0.7390350877192982
test_split_3,0.8050239234449761,0.6781065194552036,0.7137203804966963,0.7799043062200957,0.6871926501860712,0.7102073365231261,0.7547846889952153,0.7011562998405103,0.7043460925039872
test_split_4,0.8181818181818182,0.6879796090529956,0.722314308498519,0.7918660287081339,0.6982921318447635,0.7187599681020733,0.7631578947368421,0.710127591706539,0.712121212121212
test_split_5,0.8265550239234449,0.7226526117934324,0.7559485835801625,0.8074162679425837,0.7327119883040936,0.7532695374800639,0.7870813397129187,0.7450159489633172,0.7486044657097289
test_split_6,0.7990430622009569,0.6841709360733484,0.7220228601807549,0.7703349282296651,0.6949727538543327,0.7179425837320574,0.7464114832535885,0.7093301435406698,0.7123205741626795
test_split_7,0.8026315789473685,0.6933176529738246,0.7314080656185918,0.7787081339712919,0.7052066719829877,0.72811004784689,0.7679425837320574,0.7220893141945773,0.7254784688995215
test_split_8,0.8110047846889952,0.7050410304561308,0.7400086390217968,0.7799043062200957,0.7135516347687401,0.7357655502392345,0.7619617224880383,0.7270733652312599,0.7314593301435407
test_split_9,0.8169856459330144,0.7133720563584286,0.749190210374421,0.7954545454545454,0.724872076023392,0.7461921850079746,0.7787081339712919,0.7386363636363636,0.7424242424242425
test_split_10,0.819377990430622,0.6999266342413273,0.7390070820991874,0.7930622009569378,0.7112323896863371,0.7353468899521531,0.7691387559808612,0.7264752791068579,0.7296650717703349
