,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.4784689247608185,0.42424893379211426,0.4784689247608185,0.4298510253429413
test_split_2,0.5059808492660522,0.4652649760246277,0.5059808492660522,0.46621087193489075
test_split_3,0.48086127638816833,0.4580325484275818,0.48086127638816833,0.43408235907554626
test_split_4,0.4964115023612976,0.4564931392669678,0.4964115023612976,0.44464394450187683
test_split_5,0.5023923516273499,0.4807184338569641,0.5023923516273499,0.4642980396747589
test_split_6,0.4868420660495758,0.45248913764953613,0.4868420660495758,0.44443273544311523
test_split_7,0.4784688949584961,0.4449409246444702,0.4784688949584961,0.43043094873428345
test_split_8,0.4916267991065979,0.45830339193344116,0.4916267991065979,0.4516463279724121
test_split_9,0.5083732604980469,0.49342602491378784,0.5083732604980469,0.4739401042461395
test_split_10,0.4820574223995209,0.4496046304702759,0.4820574223995209,0.437552273273468
