,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7177033492822966,0.5361554589938049,0.5765203729019519,0.6854066985645934,0.5696172248803828,0.5718500797448166,0.6698564593301436,0.5701754385964912,0.5683811802232855
test_split_2,0.7105263157894737,0.5380857785698011,0.5794984620642516,0.6782296650717703,0.5714580010632642,0.5749003189792664,0.6650717703349283,0.5732655502392344,0.571969696969697
test_split_3,0.7093301435406698,0.5297755346157602,0.5778461304777094,0.6734449760765551,0.5702286018075492,0.5731060606060606,0.6543062200956937,0.5698763955342903,0.5689792663476874
test_split_4,0.7069377990430622,0.5366255024737168,0.5817484051036682,0.6830143540669856,0.5765085061137692,0.5783492822966507,0.6638755980861244,0.5755582137161084,0.5741626794258373
test_split_5,0.6985645933014354,0.5398785112130976,0.5851399331662489,0.6770334928229665,0.5796717171717172,0.5822767145135566,0.6638755980861244,0.5806419457735247,0.5793460925039872
test_split_6,0.6985645933014354,0.5295904805303301,0.5679829308118782,0.6698564593301436,0.5611177565124933,0.5639354066985646,0.6543062200956937,0.5615031897926634,0.5604066985645934
test_split_7,0.6830143540669856,0.5188480366229427,0.5644300144300145,0.65311004784689,0.5577751196172249,0.5603269537480063,0.6375598086124402,0.5575159489633172,0.5566188197767145
test_split_8,0.7033492822966507,0.5303625337694886,0.5753545796308954,0.6674641148325359,0.5683878256246676,0.5705143540669856,0.6435406698564593,0.5667862838915471,0.5651913875598086
test_split_9,0.7236842105263158,0.5538309213238725,0.6029666970456444,0.7057416267942583,0.5972687400318979,0.6005980861244019,0.6913875598086124,0.5986842105263157,0.5974880382775118
test_split_10,0.7069377990430622,0.5316181416745327,0.5731696665907192,0.6746411483253588,0.565802764486975,0.568939393939394,0.6495215311004785,0.5642942583732058,0.5631977671451356
