,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5813397169113159,0.5069261789321899,0.5813397169113159,0.5254635214805603
test_split_2,0.6076555252075195,0.5357353091239929,0.6076555252075195,0.5567141771316528
test_split_3,0.570574164390564,0.5106527805328369,0.570574164390564,0.5177552103996277
test_split_4,0.589712917804718,0.5351642370223999,0.589712917804718,0.5303239822387695
test_split_5,0.6028708219528198,0.5458574295043945,0.6028708219528198,0.5568026900291443
test_split_6,0.5849282145500183,0.5384126901626587,0.5849282145500183,0.5311033129692078
test_split_7,0.5765550136566162,0.5249723792076111,0.5765550136566162,0.5214095711708069
test_split_8,0.5956937670707703,0.5315885543823242,0.5956937670707703,0.5459261536598206
test_split_9,0.619617223739624,0.5715457797050476,0.619617223739624,0.5758112668991089
test_split_10,0.5873205661773682,0.5367773771286011,0.5873205661773682,0.5358756184577942
