,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7248803827751196,0.5792631977144038,0.6312276904382167,0.6997607655502392,0.6170903110047846,0.6278309409888357,0.6734449760765551,0.6214114832535885,0.621610845295056
test_split_2,0.7212918660287081,0.5935722552910053,0.6474030720741248,0.6949760765550239,0.6338716108452952,0.6436802232854865,0.6722488038277512,0.6383572567783093,0.6383572567783093
test_split_3,0.7129186602870813,0.5640916342835203,0.6185316510974406,0.6830143540669856,0.6027362440191387,0.6147328548644337,0.6566985645933014,0.6084529505582137,0.6084529505582137
test_split_4,0.715311004784689,0.5821398245192105,0.6354788486367434,0.6985645933014354,0.6163277511961722,0.6330143540669857,0.6722488038277512,0.6267942583732058,0.6267942583732058
test_split_5,0.7057416267942583,0.5792366477536434,0.6347848788638262,0.6854066985645934,0.6186403508771929,0.6319776714513555,0.6626794258373205,0.6265948963317385,0.6265948963317385
test_split_6,0.7105263157894737,0.5756479951984338,0.6286516480595427,0.6866028708133971,0.6107705342902712,0.6254984051036684,0.6590909090909091,0.6192185007974482,0.6192185007974482
test_split_7,0.6901913875598086,0.5555147535821878,0.6145700425305689,0.666267942583732,0.5980263157894736,0.6112041467304625,0.6435406698564593,0.6058612440191388,0.606060606060606
test_split_8,0.7057416267942583,0.5752935671987207,0.6322292473608264,0.6830143540669856,0.6134818580542265,0.6291267942583733,0.6602870813397129,0.6236044657097289,0.6238038277511961
test_split_9,0.7344497607655502,0.602181385967022,0.6617281840966052,0.7129186602870813,0.6454346092503986,0.658951355661882,0.6925837320574163,0.6541068580542264,0.6541068580542264
test_split_10,0.7165071770334929,0.582287923354261,0.6305479608111187,0.6925837320574163,0.6163078149920256,0.6273125996810208,0.6614832535885168,0.6200159489633175,0.6200159489633175
