,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6459329724311829,0.5457357168197632,0.6459329724311829,0.5809519290924072
test_split_2,0.6507177352905273,0.5583875775337219,0.6507177352905273,0.5899360179901123
test_split_3,0.6375597715377808,0.5433245897293091,0.6375597715377808,0.574852705001831
test_split_4,0.6244019269943237,0.5279313325881958,0.6244019269943237,0.5590015053749084
test_split_5,0.6854067444801331,0.5983372330665588,0.6854067444801331,0.6279419660568237
test_split_6,0.6459330916404724,0.5546091794967651,0.6459330916404724,0.5866387486457825
test_split_7,0.64952152967453,0.5426480174064636,0.64952152967453,0.5819065570831299
test_split_8,0.6590909361839294,0.5616016387939453,0.6590909361839294,0.5985661745071411
test_split_9,0.660287082195282,0.5708485841751099,0.660287082195282,0.6025757789611816
test_split_10,0.6483253836631775,0.5608038306236267,0.6483253836631775,0.5807494521141052
