,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6710526347160339,0.597922682762146,0.6710526347160339,0.6242024302482605
test_split_2,0.6889952421188354,0.6177049875259399,0.6889952421188354,0.6408523917198181
test_split_3,0.660287082195282,0.5904377102851868,0.660287082195282,0.6154826879501343
test_split_4,0.6578947305679321,0.5839757919311523,0.6578947305679321,0.6090739369392395
test_split_5,0.7057416439056396,0.6462017893791199,0.7057416439056396,0.6670764684677124
test_split_6,0.6650717258453369,0.590449333190918,0.6650717258453369,0.6194744110107422
test_split_7,0.6770334839820862,0.5998831987380981,0.6770334839820862,0.6299920082092285
test_split_8,0.6746411323547363,0.6118372082710266,0.6746411323547363,0.635009229183197
test_split_9,0.7069377303123474,0.6245876550674438,0.7069377303123474,0.6580673456192017
test_split_10,0.679425835609436,0.6000731587409973,0.679425835609436,0.6273924708366394
