,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8229665071770335,0.6899162679425838,0.7222340890104046,0.7966507177033493,0.7025850611376927,0.7185805422647528,0.7691387559808612,0.7059409888357256,0.712121212121212
test_split_2,0.8241626794258373,0.7017677321460217,0.7374871838687628,0.8002392344497608,0.7175438596491228,0.7342503987240829,0.777511961722488,0.7228867623604465,0.7288676236044657
test_split_3,0.8086124401913876,0.6835795058985848,0.7170089048378523,0.7763157894736842,0.6947767145135565,0.7126993620414672,0.7595693779904307,0.7029505582137162,0.7089314194577353
test_split_4,0.8133971291866029,0.6768743196374777,0.7106255221386801,0.7834928229665071,0.6932017543859649,0.7064593301435407,0.757177033492823,0.6951754385964913,0.7003588516746412
test_split_5,0.8229665071770335,0.7137580061264271,0.7457877648667124,0.8002392344497608,0.726335725677831,0.7426435406698565,0.7834928229665071,0.7320574162679426,0.7386363636363636
test_split_6,0.7966507177033493,0.6741166468359451,0.7137374686716792,0.7691387559808612,0.6931685273790537,0.7099481658692185,0.7547846889952153,0.6997607655502392,0.7065390749601277
test_split_7,0.8098086124401914,0.6892748047517784,0.7229275841117945,0.7918660287081339,0.7049707602339182,0.7205940988835726,0.7643540669856459,0.7089314194577353,0.7143141945773526
test_split_8,0.7990430622009569,0.6893614718614719,0.7197093111566795,0.7727272727272727,0.7016414141414141,0.7162878787878787,0.7535885167464115,0.7059409888357256,0.7119218500797447
test_split_9,0.8229665071770335,0.7091262958532696,0.7466478696741853,0.7978468899521531,0.7265483785220627,0.7432216905901116,0.7799043062200957,0.7324561403508771,0.7390350877192983
test_split_10,0.8169856459330144,0.6959092174881649,0.7305166324903167,0.7954545454545454,0.7104133439659756,0.7277910685805423,0.7739234449760766,0.7167065390749602,0.7228867623604466
