,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6076555252075195,0.5371938943862915,0.6076555252075195,0.5614473819732666
test_split_2,0.6435406804084778,0.5677215456962585,0.6435406804084778,0.5902974605560303
test_split_3,0.6208134293556213,0.5492684245109558,0.6208134293556213,0.5721419453620911
test_split_4,0.5956937670707703,0.5268921852111816,0.5956937670707703,0.5457950830459595
test_split_5,0.64952152967453,0.5918745398521423,0.64952152967453,0.6024422645568848
test_split_6,0.6136363744735718,0.545260488986969,0.6136363744735718,0.5693396329879761
test_split_7,0.6124401688575745,0.5430482625961304,0.6124401688575745,0.5666094422340393
test_split_8,0.6315789222717285,0.5631077289581299,0.6315789222717285,0.5828156471252441
test_split_9,0.6471291780471802,0.5816438794136047,0.6471291780471802,0.6004371643066406
test_split_10,0.6040669679641724,0.5292108058929443,0.6040669679641724,0.5500342845916748
