,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7990430622009569,0.6469308925723398,0.6781257120072909,0.7631578947368421,0.6592105263157895,0.6734449760765551,0.7416267942583732,0.6646730462519935,0.6686602870813397
test_split_2,0.7870813397129187,0.6519744583771839,0.6841379015721121,0.7535885167464115,0.6644471026049973,0.6795653907496011,0.7380382775119617,0.6726475279106857,0.67603668261563
test_split_3,0.7858851674641149,0.6528282285801082,0.6812936697805119,0.75,0.662310606060606,0.6766148325358852,0.7392344497607656,0.6698564593301436,0.6740430622009569
test_split_4,0.7811004784688995,0.6380469628707411,0.6642154628996734,0.7404306220095693,0.6456721823498139,0.658732057416268,0.7141148325358851,0.6493221690590111,0.652511961722488
test_split_5,0.7966507177033493,0.6702916314053532,0.6993515986937039,0.7679425837320574,0.682929625199362,0.695933014354067,0.7476076555023924,0.6883971291866029,0.6913875598086124
test_split_6,0.7739234449760766,0.645051131164853,0.6752620186830712,0.7440191387559809,0.6570923046251993,0.6712519936204147,0.7284688995215312,0.663078149920255,0.6676634768740033
test_split_7,0.7715311004784688,0.6451525017901897,0.6762825624667729,0.7452153110047847,0.6579229797979796,0.6728269537480064,0.7296650717703349,0.6648724082934608,0.6690590111642742
test_split_8,0.7703349282296651,0.6514192339615271,0.6801326232247286,0.7404306220095693,0.6654173312068049,0.6764354066985646,0.7248803827751196,0.6686602870813397,0.6728468899521531
test_split_9,0.7858851674641149,0.6652217439341499,0.6972526011999696,0.7583732057416268,0.6796285220627326,0.693640350877193,0.7404306220095693,0.6860047846889952,0.6893939393939393
test_split_10,0.7822966507177034,0.6387233471937419,0.6731734639629376,0.7464114832535885,0.649961788942052,0.6684409888357256,0.7332535885167464,0.6612838915470494,0.6652711323763955
