,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.5610048174858093,0.5764668583869934,0.5610048174858093,0.547324001789093
test_split_2,0.5909091234207153,0.5948607325553894,0.5909091234207153,0.5685139298439026
test_split_3,0.5717703104019165,0.5724319815635681,0.5717703104019165,0.5499528646469116
test_split_4,0.5430622100830078,0.5530508160591125,0.5430622100830078,0.524963915348053
test_split_5,0.5622009038925171,0.5993238091468811,0.5622009038925171,0.5587855577468872
test_split_6,0.5538277626037598,0.5442028045654297,0.5538277626037598,0.5297530889511108
test_split_7,0.5454545617103577,0.5708522200584412,0.5454545617103577,0.5329839587211609
test_split_8,0.5574162006378174,0.5865190625190735,0.5574162006378174,0.5484925508499146
test_split_9,0.589712917804718,0.5936693549156189,0.589712917804718,0.5739962458610535
test_split_10,0.5454545617103577,0.5335838794708252,0.5454545617103577,0.52040696144104
