,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.6854066985645934,0.564077935677638,0.5974828168907116,0.6543062200956937,0.5863885566188198,0.593122009569378,0.631578947368421,0.585725677830941,0.5879186602870813
test_split_2,0.6925837320574163,0.579982701424979,0.6158264980633401,0.666267942583732,0.6054691653375864,0.6121212121212121,0.6411483253588517,0.6036682615629984,0.6062599681020734
test_split_3,0.680622009569378,0.5587954100544169,0.5996563378142326,0.6507177033492823,0.5890583466241361,0.595414673046252,0.6327751196172249,0.5887161084529505,0.5911084529505581
test_split_4,0.6866028708133971,0.5571259558226976,0.592248139287613,0.6507177033492823,0.5795221956406167,0.5873604465709729,0.6232057416267942,0.57914673046252,0.5811403508771931
test_split_5,0.6722488038277512,0.5605528342938274,0.5974700007594744,0.6519138755980861,0.5905303030303031,0.5949162679425837,0.6267942583732058,0.5877192982456141,0.5891148325358851
test_split_6,0.6818181818181818,0.5584283797140157,0.600250626566416,0.6519138755980861,0.5887177698032962,0.5962121212121212,0.6351674641148325,0.5894138755980861,0.5925039872408293
test_split_7,0.6638755980861244,0.5449471451370731,0.5863949646844384,0.6375598086124402,0.5768740031897927,0.5828548644338117,0.618421052631579,0.5763556618819776,0.5785486443381179
test_split_8,0.6614832535885168,0.5447682316436232,0.5845750740487582,0.631578947368421,0.5746012759170654,0.5805023923444975,0.6088516746411483,0.5731658692185008,0.5753588516746411
test_split_9,0.687799043062201,0.5802618902203802,0.620131294144452,0.6674641148325359,0.6109350079744816,0.6175239234449761,0.6435406698564593,0.6088516746411483,0.6118421052631579
test_split_10,0.6758373205741627,0.5466593606807423,0.5896787423103212,0.645933014354067,0.57637725943647,0.5858253588516746,0.6220095693779905,0.5775518341307815,0.5801435406698564
