,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6220095157623291,0.5809001922607422,0.6220095157623291,0.5911168456077576
test_split_2,0.619617223739624,0.583594024181366,0.619617223739624,0.5906435251235962
test_split_3,0.6160286664962769,0.5613563060760498,0.6160286664962769,0.5784458518028259
test_split_4,0.6267942190170288,0.5722014904022217,0.6267942190170288,0.5895282030105591
test_split_5,0.630382776260376,0.5766327381134033,0.630382776260376,0.5953169465065002
test_split_6,0.5944976210594177,0.548134446144104,0.5944976210594177,0.5599952340126038
test_split_7,0.630382776260376,0.5827595591545105,0.630382776260376,0.5920135974884033
test_split_8,0.6160287261009216,0.571620523929596,0.6160287261009216,0.5793483257293701
test_split_9,0.6112439632415771,0.5690775513648987,0.6112439632415771,0.5803480744361877
test_split_10,0.6255980730056763,0.5963708162307739,0.6255980730056763,0.5993754863739014
