,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.7942583732057417,0.6421799967993576,0.6824319321029848,0.7667464114832536,0.6558197102604998,0.678987240829346,0.7272727272727273,0.6566985645933014,0.6696570972886763
test_split_2,0.7547846889952153,0.6300841603919611,0.6712372788030683,0.7356459330143541,0.6489167995746944,0.6687400318979265,0.7212918660287081,0.6537081339712919,0.6652711323763957
test_split_3,0.7751196172248804,0.6333310797737491,0.6724106668185615,0.75,0.6474016480595429,0.6689194577352472,0.7212918660287081,0.6495215311004785,0.6622807017543859
test_split_4,0.7691387559808612,0.6339399047763709,0.6741650527834737,0.75,0.6533958001063264,0.6716307814992025,0.7165071770334929,0.6539074960127592,0.663676236044657
test_split_5,0.7906698564593302,0.6542764016824167,0.6971662109820004,0.7727272727272727,0.6738171185539606,0.6947169059011163,0.7368421052631579,0.6756379585326953,0.6864035087719299
test_split_6,0.7523923444976076,0.6134717012137124,0.6554254955570745,0.7380382775119617,0.6333997873471557,0.6534688995215311,0.7057416267942583,0.6342703349282297,0.645933014354067
test_split_7,0.7834928229665071,0.6439379993092399,0.6852476836029466,0.7547846889952153,0.6616693248272196,0.6813795853269538,0.7332535885167464,0.6658692185007975,0.6762360446570973
test_split_8,0.7595693779904307,0.6312610903611843,0.6706553315105946,0.7404306220095693,0.6496079213184476,0.6680223285486444,0.7188995215311005,0.6537081339712919,0.6628787878787878
test_split_9,0.7739234449760766,0.6345387142097668,0.6772129186602871,0.757177033492823,0.6519271664008506,0.6748803827751196,0.7308612440191388,0.6562001594896331,0.6686602870813397
test_split_10,0.784688995215311,0.6482914978192232,0.6908711171869065,0.7655502392344498,0.6662347155768208,0.6882775119617225,0.7404306220095693,0.6708532695374799,0.6824162679425837
