,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6555023193359375,0.598029613494873,0.6555023193359375,0.617844820022583
test_split_2,0.6531100273132324,0.6069279313087463,0.6531100273132324,0.6218375563621521
test_split_3,0.654306173324585,0.6040446162223816,0.654306173324585,0.6160163283348083
test_split_4,0.6566985845565796,0.5976641178131104,0.6566985845565796,0.6186864972114563
test_split_5,0.666267991065979,0.6030135154724121,0.666267991065979,0.6287344694137573
test_split_6,0.6411482691764832,0.5800576210021973,0.6411482691764832,0.6021344065666199
test_split_7,0.6531100869178772,0.5893179178237915,0.6531100869178772,0.6106133460998535
test_split_8,0.6315789222717285,0.572117269039154,0.6315789222717285,0.591990053653717
test_split_9,0.6602870225906372,0.6125646233558655,0.6602870225906372,0.6253472566604614
test_split_10,0.6734449863433838,0.6237902641296387,0.6734449863433838,0.6419737339019775
