,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.8110047846889952,0.6694810710036273,0.7132556770714665,0.7703349282296651,0.6852239500265815,0.7075956937799043,0.7452153110047847,0.6923843700159489,0.7015550239234449
test_split_2,0.7739234449760766,0.6477829245733382,0.6892985304169515,0.7392344497607656,0.6625730994152046,0.6845095693779905,0.7200956937799043,0.6696570972886763,0.6800239234449761
test_split_3,0.7966507177033493,0.6691722361459204,0.7077091402749297,0.7715311004784688,0.683735380116959,0.7041267942583733,0.7511961722488039,0.6901913875598086,0.6997607655502392
test_split_4,0.7906698564593302,0.6640597457749713,0.7030644793802688,0.7679425837320574,0.6805638623072834,0.699920255183413,0.7416267942583732,0.6856060606060606,0.6935805422647527
test_split_5,0.80622009569378,0.6728815341926243,0.7145292207792208,0.7787081339712919,0.6877209595959597,0.7105861244019138,0.75,0.6925837320574163,0.7039473684210527
test_split_6,0.7822966507177034,0.6507700663997656,0.6924351598693704,0.7535885167464115,0.6663526714513557,0.6883971291866029,0.7332535885167464,0.6763357256778308,0.6836124401913876
test_split_7,0.7990430622009569,0.6613343242666551,0.7046797865876813,0.7643540669856459,0.677704678362573,0.6997408293460925,0.742822966507177,0.6850079744816587,0.6947767145135567
test_split_8,0.7834928229665071,0.6516804253599365,0.6896977291714134,0.7535885167464115,0.6643225013290803,0.6854665071770334,0.7308612440191388,0.6716507177033493,0.6800239234449761
test_split_9,0.7882775119617225,0.6620711331449114,0.7042720437457278,0.7643540669856459,0.6758007708665603,0.7008771929824562,0.7464114832535885,0.6878987240829345,0.6965709728867624
test_split_10,0.8098086124401914,0.685366133361904,0.7262175324675324,0.7822966507177034,0.698868620414673,0.722488038277512,0.7619617224880383,0.7085326953748006,0.7177033492822966
