,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6590909957885742,0.5371037125587463,0.6590909957885742,0.5777091383934021
test_split_2,0.6483253836631775,0.5394181609153748,0.6483253836631775,0.5757827162742615
test_split_3,0.64952152967453,0.5352487564086914,0.64952152967453,0.5698275566101074
test_split_4,0.643540620803833,0.5288675427436829,0.643540620803833,0.562090277671814
test_split_5,0.6913875341415405,0.5736833214759827,0.6913875341415405,0.6148081421852112
test_split_6,0.6674640774726868,0.5465667843818665,0.6674640774726868,0.5872876048088074
test_split_7,0.6459329724311829,0.5141098499298096,0.6459329724311829,0.5659341812133789
test_split_8,0.6722487807273865,0.5417109727859497,0.6722487807273865,0.5922684669494629
test_split_9,0.6889951825141907,0.5622717142105103,0.6889951825141907,0.6126877069473267
test_split_10,0.6531100273132324,0.5187103748321533,0.6531100273132324,0.5686686038970947
