,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6626794338226318,0.5774900913238525,0.6626794338226318,0.5913428068161011
test_split_2,0.6662679314613342,0.5730286836624146,0.6662679314613342,0.5961794257164001
test_split_3,0.6590908169746399,0.5803030133247375,0.6590908169746399,0.5875875949859619
test_split_4,0.6578947305679321,0.5787846446037292,0.6578947305679321,0.5869896411895752
test_split_5,0.7021531462669373,0.6119768023490906,0.7021531462669373,0.6319328546524048
test_split_6,0.6913875341415405,0.585787296295166,0.6913875341415405,0.6167985200881958
test_split_7,0.6806219816207886,0.5836225748062134,0.6806219816207886,0.6039751172065735
test_split_8,0.684210479259491,0.5858185291290283,0.684210479259491,0.6134837865829468
test_split_9,0.7057415843009949,0.6018791198730469,0.7057415843009949,0.6380177140235901
test_split_10,0.6698564291000366,0.5746524333953857,0.6698564291000366,0.5933261513710022
