,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6794257760047913,0.5849478840827942,0.6794257760047913,0.6118072867393494
test_split_2,0.6997607946395874,0.6080724000930786,0.6997607946395874,0.6342928409576416
test_split_3,0.6925837993621826,0.5955829620361328,0.6925837993621826,0.6242978572845459
test_split_4,0.6758373975753784,0.5752175450325012,0.6758373975753784,0.604953408241272
test_split_5,0.7272727489471436,0.6344552636146545,0.7272727489471436,0.6618101000785828
test_split_6,0.7021530866622925,0.6044213771820068,0.7021530866622925,0.6333926320075989
test_split_7,0.6937798261642456,0.5832704305648804,0.6937798261642456,0.622215747833252
test_split_8,0.7105263471603394,0.6028995513916016,0.7105263471603394,0.641219437122345
test_split_9,0.7260765433311462,0.6322731375694275,0.7260765433311462,0.6647937893867493
test_split_10,0.696172297000885,0.6029160618782043,0.696172297000885,0.6265782713890076
