,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.12081339955329895,0.13017545640468597,0.12081339955329895,0.10855735093355179
test_split_2,0.1315789520740509,0.1181480661034584,0.1315789520740509,0.117917500436306
test_split_3,0.1315789520740509,0.19967782497406006,0.1315789520740509,0.11389349400997162
test_split_4,0.12918661534786224,0.12281737476587296,0.12918661534786224,0.11539965122938156
test_split_5,0.14234450459480286,0.14360664784908295,0.14234450459480286,0.13318109512329102
test_split_6,0.12918661534786224,0.2851964235305786,0.12918661534786224,0.11974593251943588
test_split_7,0.13875599205493927,0.1370810717344284,0.13875599205493927,0.12984681129455566
test_split_8,0.14234450459480286,0.12683242559432983,0.14234450459480286,0.1240978017449379
test_split_9,0.1483253687620163,0.1581650823354721,0.1483253687620163,0.139791339635849
test_split_10,0.12081340700387955,0.150558739900589,0.12081340700387955,0.11066053807735443
